file,class,method,variable,usage
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\fragment\LogsFragment.java,org.lsposed.manager.ui.fragment.LogsFragment$LogFragment$LogAdaptor$ViewHolder,ViewHolder/1[org.lsposed.manager.ui.fragment.ItemLogTextviewBinding],item,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedProtoId,getShorty/0,shorty,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedProtoId,getParameters/0,parameters,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedProtoId,getReturnType/0,returnType,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedProtoId,"LSPosedProtoId/2[int,int[]]",shorty,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedProtoId,"LSPosedProtoId/2[int,int[]]",parameters,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedProtoId,"LSPosedProtoId/2[int,int[]]",returnType,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\widget\LinkifyTextView.java,org.lsposed.manager.ui.widget.LinkifyTextView,onTouchEvent/1[org.lsposed.manager.ui.widget.MotionEvent],mCurrentSpan,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\widget\LinkifyTextView.java,org.lsposed.manager.ui.widget.LinkifyTextView,clearCurrentSpan/0,mCurrentSpan,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\widget\LinkifyTextView.java,org.lsposed.manager.ui.widget.LinkifyTextView,getCurrentSpan/0,mCurrentSpan,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\android\content\res\XResources.java,android.content.res.XResources$DimensionReplacement,getDimension/1[android.util.DisplayMetrics],mUnit,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\android\content\res\XResources.java,android.content.res.XResources$DimensionReplacement,getDimension/1[android.util.DisplayMetrics],mValue,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\android\content\res\XResources.java,android.content.res.XResources$DimensionReplacement,getDimensionPixelOffset/1[android.util.DisplayMetrics],mUnit,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\android\content\res\XResources.java,android.content.res.XResources$DimensionReplacement,getDimensionPixelOffset/1[android.util.DisplayMetrics],mValue,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\android\content\res\XResources.java,android.content.res.XResources$DimensionReplacement,getDimensionPixelSize/1[android.util.DisplayMetrics],mUnit,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\android\content\res\XResources.java,android.content.res.XResources$DimensionReplacement,getDimensionPixelSize/1[android.util.DisplayMetrics],mValue,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\android\content\res\XResources.java,android.content.res.XResources$DimensionReplacement,"DimensionReplacement/2[float,int]",mUnit,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\android\content\res\XResources.java,android.content.res.XResources$DimensionReplacement,"DimensionReplacement/2[float,int]",mValue,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPModuleService.java,org.lsposed.lspd.service.LSPModuleService,uidGone/1[int],uidSet,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPModuleService.java,org.lsposed.lspd.service.LSPModuleService,LSPModuleService/1[java.lang.Module],loadedModule,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPModuleService.java,org.lsposed.lspd.service.LSPModuleService,deleteRemoteFile/1[java.lang.String],FILES_DIR,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPModuleService.java,org.lsposed.lspd.service.LSPModuleService,uidStarts/1[int],serviceMap,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPModuleService.java,org.lsposed.lspd.service.LSPModuleService,uidStarts/1[int],uidSet,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPModuleService.java,org.lsposed.lspd.service.LSPModuleService,"updateRemotePreferences/2[java.lang.String,android.os.Bundle]",TAG,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPModuleService.java,org.lsposed.lspd.service.LSPModuleService,uidClear/0,uidSet,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPModuleService.java,org.lsposed.lspd.service.LSPModuleService,"openRemoteFile/2[java.lang.String,int]",FILES_DIR,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPModuleService.java,org.lsposed.lspd.service.LSPModuleService,sendBinder/1[int],TAG,4
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\daemon\src\main\java\org\lsposed\lspd\service\LSPModuleService.java,org.lsposed.lspd.service.LSPModuleService,listRemoteFiles/0,FILES_DIR,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getColorThemeStyleRes/0,colorThemeMap,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getDarkTheme/0,preferences,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\util\ThemeUtil.java,org.lsposed.manager.util.ThemeUtil,getDarkTheme/0,MODE_NIGHT_FOLLOW_SYSTEM,1
