file,class,method,variable,usage
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\fragment\LogsFragment.java,org.lsposed.manager.ui.fragment.LogsFragment$LogFragment$LogAdaptor$ViewHolder,ViewHolder/1[org.lsposed.manager.ui.fragment.ItemLogTextviewBinding],binding,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedProtoId,"LSPosedProtoId/2[int,int[]]",protoId,5
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedProtoId,"LSPosedProtoId/2[int,int[]]",i,4
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\core\src\main\java\org\lsposed\lspd\impl\utils\LSPosedDexParser.java,org.lsposed.lspd.impl.utils.LSPosedDexParser$LSPosedProtoId,"LSPosedProtoId/2[int,int[]]",id,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\adapters\ScopeAdapter.java,org.lsposed.manager.adapters.ScopeAdapter$Anonymous5,onQueryTextSubmit/1[java.lang.String],query,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\adapters\ScopeAdapter.java,org.lsposed.manager.adapters.ScopeAdapter$Anonymous5,onQueryTextChange/1[java.lang.String],query,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\adapters\ScopeAdapter.java,org.lsposed.manager.adapters.ScopeAdapter$Anonymous3,"onSwitchChanged/2[org.lsposed.manager.adapters.Switch,boolean]",view,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\adapters\ScopeAdapter.java,org.lsposed.manager.adapters.ScopeAdapter$Anonymous3,"onSwitchChanged/2[org.lsposed.manager.adapters.Switch,boolean]",tmpChkList,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\adapters\ScopeAdapter.java,org.lsposed.manager.adapters.ScopeAdapter$Anonymous3,"onSwitchChanged/2[org.lsposed.manager.adapters.Switch,boolean]",isChecked,5
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\widget\LinkifyTextView.java,org.lsposed.manager.ui.widget.LinkifyTextView,onTouchEvent/1[org.lsposed.manager.ui.widget.MotionEvent],layout,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\widget\LinkifyTextView.java,org.lsposed.manager.ui.widget.LinkifyTextView,onTouchEvent/1[org.lsposed.manager.ui.widget.MotionEvent],spans,2
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\widget\LinkifyTextView.java,org.lsposed.manager.ui.widget.LinkifyTextView,onTouchEvent/1[org.lsposed.manager.ui.widget.MotionEvent],line,1
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\widget\LinkifyTextView.java,org.lsposed.manager.ui.widget.LinkifyTextView,onTouchEvent/1[org.lsposed.manager.ui.widget.MotionEvent],x,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\widget\LinkifyTextView.java,org.lsposed.manager.ui.widget.LinkifyTextView,onTouchEvent/1[org.lsposed.manager.ui.widget.MotionEvent],y,3
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\widget\LinkifyTextView.java,org.lsposed.manager.ui.widget.LinkifyTextView,onTouchEvent/1[org.lsposed.manager.ui.widget.MotionEvent],event,4
C:\Users\chait\Desktop\final project\LSPosed-master\LSPosed-master\app\src\main\java\org\lsposed\manager\ui\widget\LinkifyTextView.java,org.lsposed.manager.ui.widget.LinkifyTextView,onTouchEvent/1[org.lsposed.manager.ui.widget.MotionEvent],off,2
